Year,Release_Date,Notes
2020,Jan 14 (Dec '19),
2020,Feb 13,
2020,Mar 11,
2020,Apr 10,
2020,May 12,
2020,Jun 10,
2020,Jul 14,
2020,Aug 12,
2020,Sep 11,
2020,Oct 13,
2020,Nov 10,
2020,Dec 10,
2021,Jan 13,
2021,Feb 10,
2021,Mar 10,
2021,Apr 13,
2021,May 12,
2021,Jun 10,
2021,Jul 13,
2021,Aug 11,
2021,Sep 14,
2021,Oct 13,
2021,Nov 10,
2021,Dec 10,
2022,Jan 12,
2022,Feb 10,
2022,Mar 10,
2022,Apr 12,
2022,May 11,
2022,Jun 10,
2022,Jul 13,
2022,Aug 10,
2022,Sep 13,
2022,Oct 13,
2022,Nov 10,
2022,Dec 13,
2023,Jan 12,
2023,Feb 14,
2023,Mar 14,
2023,Apr 12,
2023,May 10,
2023,Jun 13,
2023,Jul 12,
2023,Aug 10,
2023,Sep 13,
2023,Oct 12,
2023,Nov 14,
2023,Dec 12,
2024,Jan 11,
2024,Feb 13,
2024,Mar 12,
2024,Apr 10,
2024,May 15,
2024,Jun 12,
2024,Jul 11,
2024,Aug 14,
2024,Sep 11,
2024,Oct 10,
2024,Nov 13,
2024,Dec 11,
2025,Jan 15,
2025,Feb 12,
2025,Mar 12,
2025,Apr 10,
2025,May 14,
2025,Jun 11,
2025,Jul 15,
2025,Aug 13,
2025,Sep 10,
2025,Oct 15,
2025,Nov 12,
2025,Dec 10,
2026,Jan 14 (Dec '25),
2026,Feb 11,
2026,Mar 11 (Feb '26—just released today),
